Артикул;Название;Категория;Описание;Состав;Размер;Цена;Изображение;Группа;Тема;Название акции;Скидка
42-45/162/010/03;Комплект с вышивкой "Гортензия”, серый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Гортензия”, серый;100% лен;Скатертина 140х280 см - 1шт., серветки 35х35 см - 8 шт.;1290;42-31-162-010-03.jpg;8 березня;Квіти;;
60-71/000/000/04;Пододеяльник белый;Домашный текстиль/Для спальни/Пододеяльники;Пододеяльник белый ;100% лен;145х217 см;890;60-71_000_000_04.jpg;;;;
70-62/000/000/04;Простынь белая;Домашный текстиль/Для спальни/Простыни;Простынь белая;100% лен;150х217 см;490;70-62_000_000_04.jpg;;;;
70-64/000/000/70;Простынь белая;Домашный текстиль/Для спальни/Простыни;Простынь белая;100% лен;220х240 см;890;70-64_000_000_70.jpg;;;;
70-64/000/010/78;Простынь ;Домашный текстиль/Для спальни/Простыни;Простынь ;100% лен;220х240 см;890;70-64_000_010_78.jpg;;;;
80-04/02к/200/76;Полотенце оранжевое с кружевом;Домашний текстиль/Для кухни/Полотенца;Полотенце оранжевое с кружевом;100% лен;45х70 см;139;80-04_02k_200_76.jpg;Кухонний текстиль;Прованс;;
80-25/000/000/04;Полотенце с лоскута;Домашний текстиль/Для кухни/Полотенца;Полотенце с лоскута;100% хлопок;45х90 см;19;80-25_000_000_04.jpg;Кухонний текстиль;;;
82-04/041/000/76;Полотенце с вышивкой "Калина", белое;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Калина", белое;100% лен;35х90 см;199;82-04-041-000-76.jpg;Національна традиція;Калина;;
82-04/117/000/76;Полотенце с вышивкой «Лилия», белое;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой «Лилия», белое;100% лен;35х90 см;199;82-04-117-000-76.jpg;Національна традиція;Лілія;;
82-04/160/000/76;Полотенце с вышивкой "Лес" серое;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Лес" серое;100% лен;45х65 см;119;82-04-160-000-76.jpg;Кухонний текстиль;Хелсі фуд;;
82-04/161/000/76;Полотенце с вышивкой "Огород" серое;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Огород" серое;100% лен;45х65 см;119;82-04-161-000-76.jpg;Кухонний текстиль;Хелсі фуд;;
82-04/162/000/76;Полотенце с вышивкой "Сад" серое;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Сад" серое;100% лен;45х65 см;119;82-04-162-000-76.jpg;Кухонний текстиль;Хелсі фуд;;
82-05/090/000/76;Полотенце с вышывкой "Обрядовое";Домашний текстиль/Для кухни/Полотенца;Полотенце с вышывкой "Обрядовое";100% лен;40х120 см;249;82_05_090_000-76.jpg;Обрядовий текстиль;Маки;;
82-05/119/01к/76;Полотенце с вышивкой и кружевом "Маки";Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой и кружевом "Маки";100% лен;40х110 см;289;82_05_119_01k_76.jpg;Національна традиція;Маки;;
82-19/094/01k/76;Полотенце с круживом и вышивкой "Маковая краса";Домашний текстиль/Для кухни/Полотенца;Полотенце с круживом и вышивкой "Маковая краса";100% лен;38х60 см;179;82_19_094_01k_76.jpg,82_19_094_01k_76.jpg,82_19_094_01k_76.jpg;Великдень;Маки;;
82-24/119/01к/76;Полотенце с кружевом и вышивкой "Маки";Домашний текстиль/Для кухни/Полотенца;Полотенце с кружевом и вышивкой "Маки";100% лен;38х210 см;390;imgp0012sm.jpg;Національна традиція;Маки;;
83-04/690/008/96;Полотенце жаккардовое "Кофейное";Домашний текстиль/Для кухни/Полотенца;Полотенце жаккардовое "Кофейное";100% лен;45х70 см;89;83-04_690_19_96.jpg;Кухонний текстиль;Жаккард;;
83-10/123/001/77;Полотенце жаккардовое "Два цвета";Домашний текстиль/Для кухни/Полотенца;Полотенце жаккардовое "Два цвета";100% лен;50х140 см;159;83-10_123_001_77.jpg;Національна традиція;Орнамент;;
85-04/041/01к/76;Полотенце с вышивкой и кружевом "Калина", белое;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой и кружевом "Калина", белое;100% лен;35х90 см;279;85-04-041-01k-76.jpg;Національна традиція;Калина;;
86-04/263/000/18;Полотенце с печатью "Города Украины";Домашний текстиль/Для кухни/Полотенца;Полотенце с печатью "Города Украины";100% лен;50х70 см;89;86-04_263_000_18.jpg;;Я люблю Україну;;
86-04/276/000/18;Полотенце с рисунком "Замки Украины";Домашний текстиль/Для кухни/Полотенца;Полотенце с рисунком "Замки Украины";100% лен;50х70 см;89;86-04_276_000_18.jpg;;Я люблю Україну;;
86-04/284/000/18;Полотенце с рисунком "Я люблю Украину";Домашний текстиль/Для кухни/Полотенца;Полотенце с рисунком "Я люблю Украину";100% лен;;69;ryshnuk_i_love_ukraine.jpg;;Я люблю Україну;;
90-83/011/020/78;Комплект постельного белья в ассортименте;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья в ассортименте;100% лен;Прост. 150х217 см, підков. 145х217 см,2 навол. 50Х70 см;1590;p1160796.jpg,p1160794.jpg;;;;
90-91/011/020/78;Комплект постельного белья в ассортименте;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья в ассортименте;100% лен;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;2890;p1160796.jpg,p1160794.jpg;;;;
90-92/011/020/78;Комплект постельного белья в ассортименте;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья в ассортименте;100% лен;Простирадло 220х240 см, 2 підковдри 145х217 см, 2 наволочки 50х70 см;3200;p1160794.jpg,p1160796.jpg;;;;
92-91/066/000/78;Комплект постельного белья белый с вышивкой;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья белый с вышивкой;100% лен;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;2900;p1160798.jpg;;Прованс;;
92-91/066/010/78;Комплект постельного белья белый с вышивкой;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья белый с вышивкой;100% лен;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;2900;;;Прованс;;
92-91/119/000/78;Комплект постельного белья двойной , с вышивкой "Маки", белый;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья двойной , с вышивкой "Маки", белый;100% лен;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;3190;p1160797.jpg;;Маки;;
92-91/119/010/78;Комплект постельного белья двойной , с вышивкой "Маки",  серый;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья двойной , с вышивкой "Маки",  серый;100% лен;Прост. 220х240 см, підков. 200х220 см, 2 навол. 50Х70 см;3190;92-91-119-010-78.jpg;;Маки;;
92-91/153/000/78;Комплект постельного белья “Лето” , белый с вышивкой;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья “Лето” , белый с вышивкой;100% лен;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;3190;92-91-153-000-78.jpg;;Польові трави;;
92-91/153/010/78;Комплект постельного белья “Лето” , серый с вышивкой;Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья “Лето” , серый с вышивкой;100% лен;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;3190;92-91-153-010-78.jpg;;Польові трави;;
94-91/000/033/78;Комплект постельного белья "Марсэль" серый ,(варёный);Домашний текстиль/Для спальни/Комплекты постельного белья;Комплект постельного белья "Марсэль" серый ,(варёный);100% лен;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;3890;94-91-000-033-78.jpg,p1180351.jpg;;;;
