Артикул;Название;Категория;Описание;Состав;Размер;Цена;Изображение;Группа;Тема;Название акции;Скидка
03-00/030/000/76;Грелка на чайник "Подсолнух";Домашний текстиль/Для кухни/Чехлы для чайников;Грелка на чайник "Подсолнух";100% лен;;119;grilka_na_chajnuk_kolekciai_sonaix.jpg;Національна традиція;Соняхи;;
03-00/041/000/76;Грелка на чайник "Калина";Домашний текстиль/Для кухни/Чехлы для чайников;Грелка на чайник "Калина";100% лен;;119;grilka_na_chajnuk_kolekciai_kaluna.jpg;Національна традиція;Калина;;
03-00/119/000/76;Грелка на чайник "Маки";Домашний текстиль/Для кухни/Чехлы для чайников;Грелка на чайник "Маки";100% лен;;119;grilka_na_chajnuk_kolekciai_maku.jpg;Національна традиція;Маки;;
04-00/020/000/76;Рукавичка "Украина";Домашний текстиль/Для кухни/Прихватки;Рукавичка с вишивкой "Украина";100% лен;19х20 см;119;04-00-020-000-76.jpg,rykavuchka_ukraine2.jpg;Національна традиція;Я люблю Україну;;
04-00/030/000/76;Прихватка кухонная с вышивкой "Подсолнух";Домашний текстиль/Для кухни/Прихватки;Прихватка кухонная с вышивкой "Подсолнух";100% лен;;119;pruxvatka_kolekciai_sonaix.jpg;Національна традиція;Соняхи;;
04-00/041/000/76;Прихватка кухонная с вышивкой "Калина";Домашний текстиль/Для кухни/Прихватки;Прихватка кухонная с вышивкой "Калина";100% лен;;119;pruxvatka_kolekciai_kaluna.jpg;Національна традиція;Калина;;
04-00/071/000/76;Прихватка кухонная с вышивкой "Тыква";Домашний текстиль/Для кухни/Прихватки;Прихватка кухонная с вышивкой "Тыква";100% лен;;119;rykgarb.jpg;Національна традиція;Хелсі фуд;;
04-00/119/000/76;Прихватка кухонная с вышивкой "Маки";Домашний текстиль/Для кухни/Прихватки;Прихватка кухонная с вышивкой "Маки";100% лен;;119;pruxvatka_kolekciai_maku.jpg;Національна традиція;Маки;;
10-00/030/000/76;Фартук кухонный с вышивкой  "Подсолнух";Домашний текстиль/Для кухни/Фартуки;Фартук кухонный с вышивкой  "Подсолнух";100% лен;;219;fartyx_kolekciai_sonaix.jpg;Національна традиція;Соняхи;;
10-00/041/000/76;Фартук кухонный с вышивкой  "Калина";Домашний текстиль/Для кухни/Фартуки;Фартук кухонный с вышивкой  "Калина";100% лен;;219;fartyx_kolekciai_kaluna.jpg;Національна традиція;Калина;;
10-00/071/000/76;Фартук кухонный с вышивкой "Тыква";Домашний текстиль/Для кухни/Фартуки;Фартук кухонный с вышивкой "Тыква";100% лен;;219;fartgarb1.jpg,fartgarb2.jpg;Національна традиція;Хелсі фуд;;
10-00/072/000/76;Фартук кухонный с вышивкой  "Бон апетит";Домашний текстиль/Для кухни/Фартуки;Фартук кухонный с вышивкой  "Бон апетит";100% лен;;219;fartgoroh.jpg;Кухонний текстиль;Бон апетіт;;
10-00/078/000/76;Фартук мужской с вышивкой “Охотник”;Домашний текстиль/Для кухни/Фартуки;Фартук мужской с вышивкой “Охотник”;100% лен;;219;10-00-078-000-76.JPG,P1170861.JPG;Кухонний текстиль;;;
10-00/079/000/76;Фартук мужской с вышивкой “Рибак”;Домашний текстиль/Для кухни/Фартуки;Фартук мужской с вышивкой “Рибак”;100% лен;;219;10-00-079-000-76.jpg,p1170864.jpg;Кухонний текстиль;;;
113-63/150/000/76;Плед "Премьера" льняной;Домашний текстиль/Интерьерный текстиль/Покрывала;Плед "Премьера" льняной;100% лен;130х205 см;1290;pled_premiera1.jpg;;Прованс;;
113-64/150/000/76;Покрывало "Премьера" льняное ;Домашний текстиль/Интерьерный текстиль/Покрывала;Покрывало "Премьера" льняное ;100% лен;210х220 см;2190;pokruvalo_premiera1.jpg,pokruvalo_premiera2.jpg;;Прованс;;
20-23/000/000/18;Скатерть белая льняная;Домашний текстиль/Для кухни/Скатерти;Скатерть белая льняная;100% лен;140х200 см;359;20-21_000_000_18.jpg;Кухонний текстиль;;;
20-30/02к/200/76;Скатерть с кружевом оранжевая;Домашний текстиль/Для кухни/Скатерти;Скатерть с кружевом оранжевая;100% лен;140х250 см;690;20-23_02k_200_76.jpg;Кухонний текстиль;;;
23-21/333/000/15;Скатерть жаккардовая "Златовласка" белая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Златовласка" белая;100% лен;140х140 см;490;23-21_333_000_15.jpg;Кухонний текстиль;Жаккард;;
23-21/333/010/23;Скатерть жаккардовая "Златовласка" серая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Златовласка" серая;100% лен;140х140 см;490;23-21_333_010_23.jpg;Кухонний текстиль;Жаккард;;
23-23/333/000/15;Скатерть жаккардовая "Златовласка" белая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Златовласка" белая;100% лен;140х200 см;659;23-21_333_000_15.jpg;Кухонний текстиль;Жаккард;;
23-23/333/010/23;Скатерть жаккардовая "Златовласка" серая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Златовласка" серая;100% лен;140х200 см;659;23-21_333_000_23.jpg;Кухонний текстиль;Жаккард;;
23-29/233/004/76;Скатерть жаккардовая "Милан", серая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Милан", серая;100% лен;110х150 см;360;23-2--233-004-76.jpg;Кухонний текстиль;Прованс;;
23-29/308/033/76;Скатерть жаккардовая "Мила", серая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Мила", серая;100% лен;110х145 см;395;23-24-308-033-76.jpg;Кухонний текстиль;Прованс;;
23-30/233/004/76;Скатерть жаккардовая "Милан", серая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Милан", серая;100% лен;110х280 см;819;23-2--233-004-76.jpg;Кухонний текстиль;Прованс;;
23-30/333/000/15;Скатерть жаккардовая "Златовласка" белая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Златовласка" белая;100% лен;140х250 см;790;23-21_333_000_15.jpg;Кухонний текстиль;Жаккард;;
23-30/333/010/23;Скатерть жаккардовая "Златовласка" серая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Златовласка" серая;100% лен;140х250 см;890;23-21_333_000_23.jpg;Кухонний текстиль;Жаккард;;
23-37/333/000/15;Скатерть жаккардовая "Златовласка" белая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Златовласка" белая;100% лен;140х350 см;1390;23-21_333_000_15.jpg;Кухонний текстиль;Жаккард;;
23-37/333/010/23;Скатерть жаккардовая "Златовласка" серая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая "Златовласка" серая;100% лен;140х350 см;1390;23-21_333_000_23.jpg;Кухонний текстиль;Жаккард;;
30-02/000/200/76;Салфетка льняная оранжевая;Домашний текстиль/Для кухни/Салфетки;Салфетка льняная оранжевая;100% лен;45х45 см;59;30-02_000_200_76.jpg;Кухонний текстиль;;;
30-02/000/265/76;Салфетка льняная сиреневая;Домашний текстиль/Для кухни/Салфетки;Салфетка льняная сиреневая;100% лен;45х45 см;59;30-02_000_265_76.jpg;Кухонний текстиль;;;
30-02/000/330/76;Салфетка льняная серая;Домашний текстиль/Для кухни/Салфетки;Салфетка льняная серая;100% лен;45х45 см;59;30-02_000_330_76.jpg;Кухонний текстиль;;;
30-02/000/584/76;Салфетка льняная светло-бежевая;Домашний текстиль/Для кухни/Салфетки;Салфетка льняная светло-бежевая;100% лен;45х45 см;59;30-02_000_584_76.jpg;Кухонний текстиль;;;
32-02/000/002/76;Салфетка "Крашенки";Домашний текстиль/Для кухни/Салфетки;Салфетка "Крашенки";100% лен;45х45 см;129;servetka_pusanku.jpg;Великдень;;;
32-02/000/003/76;Салфетка "Христос Воскрес";Домашний текстиль/Для кухни/Салфетки;Салфетка "Христос Воскрес";100% лен;45х45 см;149;servetka_xrustos_voskres.jpg;Великдень;;;
32-09/019/000/18;Салфетка с вышивкой и кружевом "Пасхальная корзинка";Домашний текстиль/Для кухни/Салфетки;Салфетка с вышивкой и кружевом "Пасхальная корзинка";100% лен;50х75 см;119;32-09_019_000_18.jpg;Великдень;;;
33-01/333/000/15;Скатерть жаккардовая "Златовласка" белая;Домашний текстиль/Для кухни/Салфетки;Скатерть жаккардовая "Златовласка" белая;100% лен;35х35 см;49;33-01_333_000_15.jpg;Кухонний текстиль;Жаккард;;
33-01/333/010/23;Скатерть жаккардовая "Златовласка" серая;Домашний текстиль/Для кухни/Салфетки;Скатерть жаккардовая "Златовласка" серая;100% лен;35х35 см;49;33-01_333_010_23.jpg;Кухонний текстиль;Жаккард;;
33-02/333/000/15;Скатерть жаккардовая "Златовласка" белая;Домашний текстиль/Для кухни/Салфетки;Скатерть жаккардовая "Златовласка" белая;100% лен;45х45 см;69;33-01_333_000_15.jpg;Кухонний текстиль;Жаккард;;
33-02/333/010/23;Скатерть жаккардовая "Златовласка" серая;Домашний текстиль/Для кухни/Салфетки;Скатерть жаккардовая "Златовласка" серая;100% лен;45х45 см;69;33-01_333_000_23.jpg;Кухонний текстиль;Жаккард;;
33-02/970/000/74;Салфетка жаккардовая  "Дывосвит";Домашний текстиль/Для кухни/Салфетки;Салфетка жаккардовая  "Дывосвит";100% лен;45х45 см;39;33-02_970_000_74.jpg;Кухонний текстиль;Жаккард;;
35-09/01к/000/35;Салфетка с кружевом;Домашний текстиль/Для кухни/Салфетки;Салфетка с кружевом;100% лен;50х75 см;149;35-13_01k_000_18.jpg;Кухонний текстиль;Прованс;;
35-13/01к/000/18;Салфетка с кружевом;Домашний текстиль/Для кухни/Салфетки;Салфетка с кружевом;100% лен;80х80 см;310;35-13_01k_000_18.jpg;Кухонний текстиль;Прованс;;
40-00/001/000/76;Комплект кухонный "Дывосвит"(фартук, 2полотенца);Домашний текстиль/Для кухни/Комплекты;Комплект кухонный "Дывосвит"(фартук, 2полотенца);100% лен;рушник 45х70 см - 2 шт.;289;komplekt_duvosvit.jpg;Кухонний текстиль;;;
40-00/018/000/76;Комплект подарочный «Тюльпаны»  ;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный «Тюльпаны»  ;100% лен;Цукерниця 35х35 см - 1 шт., серветки 35х35 см – 4 шт. ;369;40-00-018-000-76.jpg;8 березня;Квіти;;
40-00/094/000/76;Комплект подарочный с вышивкой «Крокус» ;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный с вышивкой «Крокус» ;100% лен;Цукерниця 35х35 см - 1 шт., серветки 35х35 см – 4 шт. ;369;40-00-094-1.jpg,40-00-094.jpg;8 березня;Квіти;;
40-00/112/000/76;Комплект подарочный с вышивкой «Фиалка» ;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный с вышивкой «Фиалка» ;100% лен;Цукерниця 35х35 см - 1 шт., серветки 35х35 см – 4 шт. ;369;40-00-112-000-76-1.jpg,40-00-112-000-76.jpg;8 березня;Квіти;;
40-00/143/000/76;Комплект подарочный “Нарцисы” ;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Нарцисы” ;100% лен;Цукерниця 35х35 см - 1 шт., серветки 35х35 см – 4 шт. ;369;40-00-143-000-76.jpg;8 березня;Квіти;;
42-18/018/000/76;Комплект подарочный с вышивкой «Тюльпаны» ;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный с вышивкой «Тюльпаны» ;100% лен;Столешня 60х110 см - 1 шт., серветки 35х35 см - 4 шт.;399;42-18-018.jpg;8 березня;Квіти;;
42-18/064/000/76;Комплект подарочный с вышивкой «Лесная песня» серый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный с вышивкой «Лесная песня» серый;100% лен;Столешня 60х110 см - 1 шт., серветки 35х35 см - 4 шт.;469;42-18-064-010.jpg;8 березня;Польові трави;;
42-18/064/101/76;Комплект подарочный с вышивкой «Лесная песня» белый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный с вышивкой «Лесная песня» белый;100% лен;Столешня 60х110 см - 1 шт., серветки 35х35 см - 4 шт.;469;42-18-064-000.jpg;8 березня;Польові трави;;
42-18/094/000/76;Комплект подарочный с вышивкой «Крокус» ;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный с вышивкой «Крокус» ;100% лен;Столешня 60х110 см - 1 шт., серветки 35х35 см - 4 шт.;399;42_68_094_000_76.jpg;8 березня;Квіти;;
42-18/112/000/76;Комплект подарочный с вышивкой «Фиалка» ;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный с вышивкой «Фиалка» ;100% лен;Столешня 60х110 см - 1 шт., серветки 35х35 см - 4 шт.;399;42-18-112-0.jpg,42-18-112.jpg;8 березня;Квіти;;
42-18/119/000/76;Комплект подарочный “Маки” ;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный украшенный вышивкой и цветными салфетками;100% лен;Серветка 60х110 см — 1 шт., серветка 35х35 см — 4 шт.;399;42_18_119_000_76.jpg;Національна традиція;Маки;;
