Артикул;Название;Категория;Описание;Состав;Размер;Цена;Изображение;Группа;Тема;Название акции;Скидка
42-42/068/949/76;Комплект подарунковий "Ірис" зелений;Домашній текстиль/Для кухні/Комплекти;Комплект подарунковий "Ірис" зелений;100% льон;1 скат. 140х220 см, 1 скат. 120х120 см, 6 серв. 35Х35 см;1290;42-36_068_949_76.jpg;8 березня;Квіти;;
42-42/162/000/18;Комплект столовий "Гортензія";Домашній текстиль/Для кухні/Комплекти;Комплект столовий з вишивкою "Гортензія";100% льон;Скатертина 140х220 см - 1шт., серветки 35х35 см - 6 шт.;1100;42-31-162-000-76.jpg;8 березня;Квіти;;
42-42/162/010/03;Комплект столовий "Гортензія";Домашній текстиль/Для кухні/Комплекти;Комплект столовий з вишивкою "Гортензія",сірий;100% льон;Скатертина 140х220 см - 1шт., серветки 35х35 см - 6 шт.;1100;42-31-162-010-03.jpg;8 березня;Квіти;;
42-45/030/000/18;Комплект з вишивкою "Сонях" білий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Сонях" білий;100% льон;140х250 см + 8 серв. 35х35 см;1190;42-31_030_000_18.jpg;Національна традиція;Соняхи;;
42-45/030/010/03;Комплект з вишивкою "Сонях" сірий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Сонях" сірий;100% льон;140х250 см + 8 серв. 35х35 см;1390;42-31_030_010_03.jpg;Національна традиція;Соняхи;;
42-45/041/000/18;Комплект з вишивкою "Калина" білий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Калина" білий;100% льон;140х250 см + 8 серв. 35х35 см;1190;42-31_041_000_18.jpg;Національна традиція;Калина;;
42-45/041/010/03;Комплект з вишивкою "Калина" сірий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Калина" сірий;100% льон;140х250 см + 8 серв. 35х35 см;1390;42-35_041_010_03.jpg;Національна традиція;Калина;;
42-45/111/000/18;Комплект з вишивкою "Фіалка" білий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Фіалка" білий;100% льон;140х250 см + 8 серв. 35х35 см;;42-31_111_000_18.jpg;8 березня;Квіти;;
42-45/119/000/18;Комплект з вишивкою "Маки" білий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Маки" білий;100% льон;140х250 см + 8 серв. 35х35 см;1190;42-31_119_000_18.jpg;Національна традиція;Маки;;
42-45/119/010/03;Комплект з вишивкою "Маки" сірий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Маки" сірий;100% льон;140х250 см + 8 серв. 35х35 см;1390;42-35_119_010_03.jpg;Національна традиція;Маки;;
42-45/162/000/18;Комплект столовий "Гортензія";Домашній текстиль/Для кухні/Комплекти;Комплект столовий з вишивкою "Гортензія";100% льон;Скатертина 140х280 см - 1шт., серветки 35х35 см - 8 шт.;1290;42-31-162-000-76.jpg;8 березня;Квіти;;
